,count,mean,std,min,25%,50%,75%,max
C,1496.0,47.51677436879612,7.833826346637083,23.307632446289062,41.77771759033204,48.614484786987305,53.854366302490234,60.22971725463867
H,1496.0,5.4491909732195465,2.0254839311274404,0.3661774098873138,3.9054582118988037,5.439417839050293,7.007058262825012,10.395149230957031
N,1496.0,2.8107277356128004,1.676616414726132,0.1047854125499725,1.477656990289688,2.588687539100647,3.9471969604492188,7.947034358978271
O,1496.0,40.8523582239202,8.29927340488126,11.812920570373535,35.4693021774292,42.32765579223633,47.61480903625488,52.77276611328125
S,1496.0,0.7125581016046254,0.37624264999457124,0.0020573642104864,0.41806682944297785,0.7284667789936066,1.012554943561554,1.5239859819412231
VM,1496.0,76.49557132644449,13.048275606572739,29.9457950592041,68.80481719970703,79.84630966186523,86.72824096679688,93.98439025878906
Ash,1496.0,13.559623258497147,8.580275470096039,0.4029351770877838,6.291314482688904,12.63528299331665,19.770086765289307,38.926513671875
FC,1496.0,19.91545006932372,5.151219304469739,-4.57991361618042,17.152536392211914,21.143794059753418,23.990096569061283,26.52401161193848
Cel,1496.0,33.93200809508562,10.03943658974564,-7.26984167098999,27.824825763702393,35.20781898498535,42.1686429977417,49.55456161499024
Hem,1496.0,17.304887144213772,27.764718381535047,-29.703065872192383,-8.462917804718018,19.636754989624023,44.36796283721924,55.32172775268555
Lig,1496.0,29.058421827812882,14.602537348168964,1.711666464805603,17.150268077850342,29.074549674987793,41.581674575805664,53.08313751220703
Plantcapacity(kg/hr,1496.0,35090.706112785134,9790.576196882286,4698.958984375,28583.72412109375,36914.85546875,42792.2373046875,49736.69140625
MSP,1496.0,0.8730260039123153,0.2981602672934799,-0.2869190871715545,0.6684573292732239,0.8948822915554047,1.0836986005306244,1.533159852027893
Location_China,1496.0,0.26336898395721925,0.4406081388117971,0.0,0.0,0.0,1.0,1.0
Location_UK,1496.0,0.588903743315508,0.49219717759396625,0.0,0.0,1.0,1.0,1.0
Location_US,1496.0,0.14772727272727273,0.3549480839397394,0.0,0.0,0.0,0.0,1.0
